Auction Types,A,B,C,D,Winner Type,Starting Bid,Revenue,Speed
ED,25.0,25.0,25.0,25.0,D,981000000,142254664,20
DE,25.0,25.0,25.0,25.0,D,981000000,185201207,3
V,25.0,25.0,25.0,25.0,C,981000000,202011266,1
F,25.0,25.0,25.0,25.0,C,981000000,219095230,1
ED,25.0,25.0,25.0,25.0,C,990000000,155438999,7
DE,25.0,25.0,25.0,25.0,A,990000000,170783999,3
V,25.0,25.0,25.0,25.0,D,990000000,236615627,1
F,25.0,25.0,25.0,25.0,C,990000000,233839048,1
ED,25.0,25.0,25.0,25.0,B,963000000,186139961,11
DE,25.0,25.0,25.0,25.0,C,963000000,262218536,4
V,25.0,25.0,25.0,25.0,C,963000000,193196797,1
F,25.0,25.0,25.0,25.0,A,963000000,226859373,1
ED,25.0,25.0,25.0,25.0,B,981000000,168287871,6
DE,25.0,25.0,25.0,25.0,A,981000000,161049599,3
V,25.0,25.0,25.0,25.0,C,981000000,191429486,1
F,25.0,25.0,25.0,25.0,A,981000000,223698402,1
ED,25.0,25.0,25.0,25.0,D,981000000,178117807,18
DE,25.0,25.0,25.0,25.0,A,981000000,244705103,4
V,25.0,25.0,25.0,25.0,B,981000000,158043625,1
F,25.0,25.0,25.0,25.0,B,981000000,264777524,1
ED,25.0,25.0,25.0,25.0,C,972000000,169199999,8
DE,25.0,25.0,25.0,25.0,D,972000000,210955891,3
V,25.0,25.0,25.0,25.0,A,972000000,208234192,1
F,25.0,25.0,25.0,25.0,C,972000000,269042752,1
ED,25.0,25.0,25.0,25.0,C,945000000,139499999,11
DE,25.0,25.0,25.0,25.0,C,945000000,170684999,3
V,25.0,25.0,25.0,25.0,B,945000000,254809490,1
F,25.0,25.0,25.0,25.0,B,945000000,265332306,1
ED,25.0,25.0,25.0,25.0,A,963000000,149669999,11
DE,25.0,25.0,25.0,25.0,C,963000000,180485999,3
V,25.0,25.0,25.0,25.0,B,963000000,225613412,1
F,25.0,25.0,25.0,25.0,B,963000000,237087628,1
ED,25.0,25.0,25.0,25.0,B,963000000,212680080,24
DE,25.0,25.0,25.0,25.0,C,963000000,168090349,3
V,25.0,25.0,25.0,25.0,B,963000000,262152855,1
F,25.0,25.0,25.0,25.0,B,963000000,163119822,1
ED,25.0,25.0,25.0,25.0,A,981000000,139859999,10
DE,25.0,25.0,25.0,25.0,auctioneer,981000000,-900000000,2
V,25.0,25.0,25.0,25.0,C,981000000,211857404,1
F,25.0,25.0,25.0,25.0,A,981000000,183332781,1
ED,25.0,25.0,25.0,25.0,D,972000000,141011649,9
DE,25.0,25.0,25.0,25.0,C,972000000,188641840,3
V,25.0,25.0,25.0,25.0,B,972000000,193117287,1
F,25.0,25.0,25.0,25.0,D,972000000,250620333,1
ED,25.0,25.0,25.0,25.0,A,954000000,111239999,6
DE,25.0,25.0,25.0,25.0,C,954000000,154546256,3
V,25.0,25.0,25.0,25.0,A,954000000,233323343,1
F,25.0,25.0,25.0,25.0,C,954000000,219303788,1
ED,25.0,25.0,25.0,25.0,B,954000000,155333931,26
DE,25.0,25.0,25.0,25.0,C,954000000,248991834,4
V,25.0,25.0,25.0,25.0,D,954000000,203847796,1
F,25.0,25.0,25.0,25.0,C,954000000,235766175,1
ED,25.0,25.0,25.0,25.0,B,981000000,168155454,10
DE,25.0,25.0,25.0,25.0,A,981000000,202153499,3
V,25.0,25.0,25.0,25.0,D,981000000,146774866,1
F,25.0,25.0,25.0,25.0,A,981000000,263619229,1
ED,25.0,25.0,25.0,25.0,A,972000000,114401892,11
DE,25.0,25.0,25.0,25.0,D,972000000,177694433,3
V,25.0,25.0,25.0,25.0,C,972000000,263358574,1
F,25.0,25.0,25.0,25.0,A,972000000,251187302,1
ED,25.0,25.0,25.0,25.0,D,963000000,146780177,11
DE,25.0,25.0,25.0,25.0,B,963000000,39965039,2
V,25.0,25.0,25.0,25.0,A,963000000,192477264,1
F,25.0,25.0,25.0,25.0,B,963000000,252387838,1
ED,25.0,25.0,25.0,25.0,A,945000000,166696048,13
DE,25.0,25.0,25.0,25.0,B,945000000,239125740,4
V,25.0,25.0,25.0,25.0,B,945000000,231488410,1
F,25.0,25.0,25.0,25.0,B,945000000,241294221,1
ED,25.0,25.0,25.0,25.0,B,990000000,148071706,8
DE,25.0,25.0,25.0,25.0,D,990000000,156409185,3
V,25.0,25.0,25.0,25.0,D,990000000,229107704,1
F,25.0,25.0,25.0,25.0,C,990000000,219984004,1
ED,25.0,25.0,25.0,25.0,A,954000000,130319999,9
DE,25.0,25.0,25.0,25.0,B,954000000,219043830,4
V,25.0,25.0,25.0,25.0,B,954000000,251219088,1
F,25.0,25.0,25.0,25.0,B,954000000,268838764,1
ED,25.0,25.0,25.0,25.0,C,981000000,198153685,8
DE,25.0,25.0,25.0,25.0,B,981000000,240305074,4
V,25.0,25.0,25.0,25.0,C,981000000,172251505,1
F,25.0,25.0,25.0,25.0,C,981000000,220863689,1
ED,25.0,25.0,25.0,25.0,A,954000000,80783866,16
DE,25.0,25.0,25.0,25.0,C,954000000,156492702,3
V,25.0,25.0,25.0,25.0,C,954000000,233075207,1
F,25.0,25.0,25.0,25.0,A,954000000,243960004,1
ED,25.0,25.0,25.0,25.0,D,981000000,169968351,10
DE,25.0,25.0,25.0,25.0,C,981000000,179566955,3
V,25.0,25.0,25.0,25.0,D,981000000,151573744,1
F,25.0,25.0,25.0,25.0,A,981000000,261241943,1
ED,25.0,25.0,25.0,25.0,C,954000000,146032379,6
DE,25.0,25.0,25.0,25.0,D,954000000,170386447,3
V,25.0,25.0,25.0,25.0,A,954000000,216633222,1
F,25.0,25.0,25.0,25.0,C,954000000,261706954,1
ED,25.0,25.0,25.0,25.0,C,981000000,175637069,7
DE,25.0,25.0,25.0,25.0,A,981000000,191264399,3
V,25.0,25.0,25.0,25.0,C,981000000,187933021,1
F,25.0,25.0,25.0,25.0,B,981000000,243193200,1
ED,25.0,25.0,25.0,25.0,C,945000000,134820926,16
DE,25.0,25.0,25.0,25.0,D,945000000,173216526,3
V,25.0,25.0,25.0,25.0,C,945000000,199469204,1
F,25.0,25.0,25.0,25.0,B,945000000,260317671,1
ED,25.0,25.0,25.0,25.0,C,972000000,257004802,11
DE,25.0,25.0,25.0,25.0,A,972000000,161423999,3
V,25.0,25.0,25.0,25.0,C,972000000,161899556,1
F,25.0,25.0,25.0,25.0,C,972000000,262569460,1
ED,25.0,25.0,25.0,25.0,B,972000000,166109039,11
DE,25.0,25.0,25.0,25.0,B,972000000,198160452,3
V,25.0,25.0,25.0,25.0,B,972000000,198201804,1
F,25.0,25.0,25.0,25.0,C,972000000,253774589,1
ED,25.0,25.0,25.0,25.0,B,972000000,152209439,7
DE,25.0,25.0,25.0,25.0,B,972000000,208822204,3
V,25.0,25.0,25.0,25.0,D,972000000,190175629,1
F,25.0,25.0,25.0,25.0,C,972000000,267670294,1
ED,25.0,25.0,25.0,25.0,B,990000000,158868726,22
DE,25.0,25.0,25.0,25.0,D,990000000,220203733,3
V,25.0,25.0,25.0,25.0,D,990000000,183535694,1
F,25.0,25.0,25.0,25.0,C,990000000,260393709,1
ED,25.0,25.0,25.0,25.0,B,963000000,157724316,10
DE,25.0,25.0,25.0,25.0,C,963000000,173509256,3
V,25.0,25.0,25.0,25.0,D,963000000,158432231,1
F,25.0,25.0,25.0,25.0,C,963000000,265586554,1
ED,25.0,25.0,25.0,25.0,A,981000000,179099999,11
DE,25.0,25.0,25.0,25.0,D,981000000,194677157,3
V,25.0,25.0,25.0,25.0,B,981000000,261777363,1
F,25.0,25.0,25.0,25.0,D,981000000,191617004,1
ED,25.0,25.0,25.0,25.0,D,963000000,134261652,9
DE,25.0,25.0,25.0,25.0,D,963000000,195661756,3
V,25.0,25.0,25.0,25.0,B,963000000,173316870,1
F,25.0,25.0,25.0,25.0,B,963000000,253710344,1
ED,25.0,25.0,25.0,25.0,B,963000000,234959485,13
DE,25.0,25.0,25.0,25.0,C,963000000,158299378,3
V,25.0,25.0,25.0,25.0,B,963000000,159321670,1
F,25.0,25.0,25.0,25.0,C,963000000,266677069,1
ED,25.0,25.0,25.0,25.0,C,972000000,143675279,11
DE,25.0,25.0,25.0,25.0,D,972000000,236457603,4
V,25.0,25.0,25.0,25.0,B,972000000,206124850,1
F,25.0,25.0,25.0,25.0,B,972000000,250574325,1
ED,25.0,25.0,25.0,25.0,C,981000000,153338939,10
DE,25.0,25.0,25.0,25.0,A,981000000,130638599,3
V,25.0,25.0,25.0,25.0,D,981000000,213309452,1
F,25.0,25.0,25.0,25.0,C,981000000,245155897,1
ED,25.0,25.0,25.0,25.0,A,954000000,158869756,7
DE,25.0,25.0,25.0,25.0,B,954000000,157733364,4
V,25.0,25.0,25.0,25.0,A,954000000,202226147,1
F,25.0,25.0,25.0,25.0,D,954000000,211074598,1
ED,25.0,25.0,25.0,25.0,D,963000000,220390228,28
DE,25.0,25.0,25.0,25.0,B,963000000,39021299,2
V,25.0,25.0,25.0,25.0,B,963000000,185770494,1
F,25.0,25.0,25.0,25.0,C,963000000,266624336,1
ED,25.0,25.0,25.0,25.0,D,990000000,190201224,7
DE,25.0,25.0,25.0,25.0,A,990000000,189890999,3
V,25.0,25.0,25.0,25.0,C,990000000,239970732,1
F,25.0,25.0,25.0,25.0,C,990000000,246930819,1
ED,25.0,25.0,25.0,25.0,B,972000000,239239469,9
DE,25.0,25.0,25.0,25.0,D,972000000,227193374,4
V,25.0,25.0,25.0,25.0,C,972000000,220258392,1
F,25.0,25.0,25.0,25.0,D,972000000,205968365,1
ED,25.0,25.0,25.0,25.0,D,972000000,154816484,9
DE,25.0,25.0,25.0,25.0,A,972000000,212453999,3
V,25.0,25.0,25.0,25.0,C,972000000,209071233,1
F,25.0,25.0,25.0,25.0,A,972000000,211849085,1
ED,25.0,25.0,25.0,25.0,B,945000000,121955221,34
DE,25.0,25.0,25.0,25.0,D,945000000,143512044,4
V,25.0,25.0,25.0,25.0,A,945000000,205123459,1
F,25.0,25.0,25.0,25.0,A,945000000,219572260,1
ED,25.0,25.0,25.0,25.0,B,972000000,178806005,10
DE,25.0,25.0,25.0,25.0,C,972000000,204810968,3
V,25.0,25.0,25.0,25.0,B,972000000,139191626,1
F,25.0,25.0,25.0,25.0,B,972000000,163638455,1
ED,25.0,25.0,25.0,25.0,D,981000000,178117807,8
DE,25.0,25.0,25.0,25.0,D,981000000,193284681,3
V,25.0,25.0,25.0,25.0,A,981000000,156975828,1
F,25.0,25.0,25.0,25.0,B,981000000,226864886,1
ED,25.0,25.0,25.0,25.0,D,963000000,141965448,8
DE,25.0,25.0,25.0,25.0,D,963000000,200759383,3
V,25.0,25.0,25.0,25.0,A,963000000,208552907,1
F,25.0,25.0,25.0,25.0,D,963000000,206936691,1
ED,25.0,25.0,25.0,25.0,B,990000000,118331899,37
DE,25.0,25.0,25.0,25.0,A,990000000,211967999,3
V,25.0,25.0,25.0,25.0,C,990000000,188221715,1
F,25.0,25.0,25.0,25.0,B,990000000,258543597,1
ED,25.0,25.0,25.0,25.0,C,945000000,163011286,9
DE,25.0,25.0,25.0,25.0,D,945000000,181079999,3
V,25.0,25.0,25.0,25.0,A,945000000,215583521,1
F,25.0,25.0,25.0,25.0,B,945000000,261561444,1
ED,25.0,25.0,25.0,25.0,A,972000000,189918901,7
DE,25.0,25.0,25.0,25.0,A,972000000,160257599,3
V,25.0,25.0,25.0,25.0,D,972000000,229190400,1
F,25.0,25.0,25.0,25.0,A,972000000,268031742,1
ED,25.0,25.0,25.0,25.0,A,954000000,139593794,10
DE,25.0,25.0,25.0,25.0,D,954000000,201869999,3
V,25.0,25.0,25.0,25.0,C,954000000,231736994,1
F,25.0,25.0,25.0,25.0,B,954000000,255523369,1
ED,25.0,25.0,25.0,25.0,B,954000000,155784245,26
DE,25.0,25.0,25.0,25.0,B,954000000,216334681,4
V,25.0,25.0,25.0,25.0,C,954000000,196921279,1
F,25.0,25.0,25.0,25.0,D,954000000,260002469,1
ED,25.0,25.0,25.0,25.0,A,981000000,120239999,8
DE,25.0,25.0,25.0,25.0,A,981000000,179982899,3
V,25.0,25.0,25.0,25.0,A,981000000,185948081,1
F,25.0,25.0,25.0,25.0,A,981000000,264899209,1
ED,25.0,25.0,25.0,25.0,D,945000000,226208981,9
DE,25.0,25.0,25.0,25.0,B,945000000,176290746,4
V,25.0,25.0,25.0,25.0,A,945000000,242228993,1
F,25.0,25.0,25.0,25.0,D,945000000,250088990,1
ED,25.0,25.0,25.0,25.0,D,954000000,130319453,8
DE,25.0,25.0,25.0,25.0,A,954000000,194582646,4
V,25.0,25.0,25.0,25.0,A,954000000,224948882,1
F,25.0,25.0,25.0,25.0,A,954000000,268833261,1
ED,25.0,25.0,25.0,25.0,A,945000000,211098131,18
DE,25.0,25.0,25.0,25.0,C,945000000,181079999,3
V,25.0,25.0,25.0,25.0,D,945000000,247803210,1
F,25.0,25.0,25.0,25.0,B,945000000,259234986,1
ED,25.0,25.0,25.0,25.0,A,972000000,118303841,15
DE,25.0,25.0,25.0,25.0,B,972000000,188500035,3
V,25.0,25.0,25.0,25.0,A,972000000,237582663,1
F,25.0,25.0,25.0,25.0,C,972000000,210837407,1
ED,25.0,25.0,25.0,25.0,B,972000000,167081039,13
DE,25.0,25.0,25.0,25.0,C,972000000,178892005,3
V,25.0,25.0,25.0,25.0,D,972000000,205454956,1
F,25.0,25.0,25.0,25.0,D,972000000,266615863,1
ED,25.0,25.0,25.0,25.0,C,972000000,169199999,8
DE,25.0,25.0,25.0,25.0,B,972000000,209843173,3
V,25.0,25.0,25.0,25.0,C,972000000,263453511,1
F,25.0,25.0,25.0,25.0,D,972000000,208961996,1
ED,25.0,25.0,25.0,25.0,D,963000000,216456743,12
DE,25.0,25.0,25.0,25.0,D,963000000,99940677,3
V,25.0,25.0,25.0,25.0,D,963000000,201318525,1
F,25.0,25.0,25.0,25.0,B,963000000,221848521,1
ED,25.0,25.0,25.0,25.0,D,981000000,170270162,9
DE,25.0,25.0,25.0,25.0,C,981000000,193897699,3
V,25.0,25.0,25.0,25.0,C,981000000,250043953,1
F,25.0,25.0,25.0,25.0,C,981000000,198909733,1
ED,25.0,25.0,25.0,25.0,A,954000000,139859999,11
DE,25.0,25.0,25.0,25.0,D,954000000,151327294,3
V,25.0,25.0,25.0,25.0,C,954000000,224026090,1
F,25.0,25.0,25.0,25.0,C,954000000,243560966,1
ED,25.0,25.0,25.0,25.0,C,972000000,146523239,8
DE,25.0,25.0,25.0,25.0,D,972000000,202980400,3
V,25.0,25.0,25.0,25.0,B,972000000,243641588,1
F,25.0,25.0,25.0,25.0,C,972000000,217006950,1
